date,month,day,cf,income_item,expense_item,dedu_item,content,amount,payment_type,user,group,entry_date,update_date
2025/4/21,4,21,支出,,副食物費,,イオン,149,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/21,2025/4/21
2025/4/21,4,21,支出,,副食物費,,ドンキ,1001,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/21,2025/4/21
2025/4/19,4,19,支出,,教養費,,事務キチ,1056,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/19,2025/4/19
2025/4/19,4,19,支出,,教養費,,イオン,345,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/19,2025/4/19
2025/4/18,4,19,支出,,副食物費,,イオン,235,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/18,2025/4/18
2025/4/16,4,16,支出,,住宅・家具費,,ダイソー,880,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/16,2025/4/16
2025/4/16,4,16,支出,,特別費,,レモンケーキ送付,1130,現金,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/16,2025/4/16
2025/4/16,4,21,支出,,副食物費,,生協4-3,8969,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/16,2025/4/16
2025/4/16,4,21,支出,,調味料,,生協4-3,1874,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/16,2025/4/16
2025/4/16,4,21,支出,,住宅・家具費,,生協4-3,526,現金,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/16,2025/4/16
2025/4/16,4,16,支出,,副食物費,,イオン,1564,三井住友VISA,67fee14baec9e540985a7c49,67fee15caec9e540985a7c57,2025/4/16,2025/4/16
2025/4/15,4,15,支出,,教養費,,山グッズ,25240,ルミネ-JCB　知子,67fee1aaaec9e540985a7c6f,67fee15caec9e540985a7c57,2025/4/15,2025/4/15
